scenario,delta,temps_reduit,rayon_reduit,energie_reduite
sans_germe,1.2,44.0,0.0,0.0
sans_germe,1.2,44.1,0.0,0.0
sans_germe,1.2,44.2,0.0,0.0
sans_germe,1.2,44.300000000000004,0.0,0.0
sans_germe,1.2,44.4,0.0,0.0
sans_germe,1.2,44.5,0.0,0.0
sans_germe,1.2,44.6,0.0,0.0
sans_germe,1.2,44.7,0.0,0.0
sans_germe,1.2,44.800000000000004,0.0,0.0
sans_germe,1.2,44.9,0.0,0.0
sans_germe,1.2,45.0,0.0,0.0
sans_germe,1.2,45.1,0.0,0.0
sans_germe,1.2,45.2,0.0,0.0
sans_germe,1.2,45.300000000000004,0.0,0.0
sans_germe,1.2,45.4,0.0,0.0
sans_germe,1.2,45.5,0.0,0.0
sans_germe,1.2,45.6,0.0,0.0
sans_germe,1.2,45.7,0.0,0.0
sans_germe,1.2,45.800000000000004,0.0,0.0
sans_germe,1.2,45.9,0.0,0.0
sans_germe,1.2,46.0,0.0,0.0
sans_germe,1.2,46.1,0.0,0.0
sans_germe,1.2,46.2,0.0,0.0
sans_germe,1.2,46.300000000000004,0.0,0.0
sans_germe,1.2,46.4,0.0,0.0
sans_germe,1.2,46.5,0.0,0.0
sans_germe,1.2,46.6,0.0,0.0
sans_germe,1.2,46.7,0.0,0.0
sans_germe,1.2,46.800000000000004,0.0,0.0
sans_germe,1.2,46.9,0.0,0.0
sans_germe,1.2,47.0,0.0,0.0
sans_germe,1.2,47.1,0.0,0.0
sans_germe,1.2,47.2,0.0,0.0
sans_germe,1.2,47.300000000000004,0.0,0.0
sans_germe,1.2,47.4,0.0,0.0
sans_germe,1.2,47.5,0.0,0.0
sans_germe,1.2,47.6,0.0,0.0
sans_germe,1.2,47.7,0.0,0.0
sans_germe,1.2,47.800000000000004,0.0,0.0
sans_germe,1.2,47.9,0.0,0.0
sans_germe,1.2,48.0,0.0,0.0
sans_germe,1.2,48.1,0.0,0.0
sans_germe,1.2,48.2,0.0,0.0
sans_germe,1.2,48.300000000000004,0.0,0.0
sans_germe,1.2,48.4,0.0,0.0
sans_germe,1.2,48.5,0.0,0.0
sans_germe,1.2,48.6,0.0,0.0
sans_germe,1.2,48.7,0.0,0.0
sans_germe,1.2,48.800000000000004,0.0,0.0
sans_germe,1.2,48.9,0.0,0.0
sans_germe,1.2,49.0,0.0,0.0
sans_germe,1.2,49.1,0.0,0.0
sans_germe,1.2,49.2,0.0,0.0
sans_germe,1.2,49.300000000000004,0.0,0.0
sans_germe,1.2,49.4,0.0,0.0
sans_germe,1.2,49.5,0.0,0.0
sans_germe,1.2,49.6,0.0,0.0
sans_germe,1.2,49.7,0.0,0.0
sans_germe,1.2,49.800000000000004,0.0,0.0
sans_germe,1.2,49.9,0.0,0.0
sans_germe,1.2,50.0,0.0,0.0
sans_germe,1.2,50.1,0.0,0.0
sans_germe,1.2,50.2,0.0,0.0
sans_germe,1.2,50.300000000000004,0.0,0.0
sans_germe,1.2,50.4,0.0,0.0
sans_germe,1.2,50.5,0.0,0.0
sans_germe,1.2,50.6,0.0,0.0
sans_germe,1.2,50.7,0.0,0.0
sans_germe,1.2,50.800000000000004,0.0,0.0
sans_germe,1.2,50.9,0.0,0.0
sans_germe,1.2,51.0,0.0,0.0
sans_germe,1.2,51.1,0.0,0.0
sans_germe,1.2,51.2,0.0,0.0
sans_germe,1.2,51.300000000000004,0.0,0.0
sans_germe,1.2,51.4,0.0,0.0
sans_germe,1.2,51.5,0.0,0.0
sans_germe,1.2,51.6,0.0,0.0
sans_germe,1.2,51.7,0.0,0.0
sans_germe,1.2,51.800000000000004,0.0,0.0
sans_germe,1.2,51.9,0.0,0.0
sans_germe,1.2,52.0,0.0,0.0
sans_germe,1.2,52.1,0.0,0.0
sans_germe,1.2,52.2,0.0,0.0
sans_germe,1.2,52.300000000000004,0.0,0.0
sans_germe,1.2,52.4,0.0,0.0
sans_germe,1.2,52.5,0.0,0.0
sans_germe,1.2,52.6,0.0,0.0
sans_germe,1.2,52.7,0.0,0.0
sans_germe,1.2,52.800000000000004,0.0,0.0
sans_germe,1.2,52.9,0.0,0.0
sans_germe,1.2,53.0,0.0,0.0
sans_germe,1.2,53.1,0.0,0.0
sans_germe,1.2,53.2,0.0,0.0
sans_germe,1.2,53.300000000000004,0.0,0.0
sans_germe,1.2,53.4,0.0,0.0
sans_germe,1.2,53.5,0.0,0.0
sans_germe,1.2,53.6,0.0,0.0
sans_germe,1.2,53.7,0.0,0.0
sans_germe,1.2,53.800000000000004,0.0,0.0
sans_germe,1.2,53.9,0.0,0.0
sans_germe,1.2,54.0,0.0,0.0
sans_germe,1.2,54.1,0.0,0.0
sans_germe,1.2,54.2,0.0,0.0
sans_germe,1.2,54.300000000000004,0.0,0.0
sans_germe,1.2,54.4,0.0,0.0
sans_germe,1.2,54.5,0.0,0.0
sans_germe,1.2,54.6,0.0,0.0
sans_germe,1.2,54.7,0.0,0.0
sans_germe,1.2,54.800000000000004,0.0,0.0
sans_germe,1.2,54.9,0.0,0.0
sans_germe,1.2,55.0,0.0,0.0
sans_germe,1.2,55.1,0.0,0.0
sans_germe,1.2,55.2,0.0,0.0
sans_germe,1.2,55.300000000000004,0.0,0.0
sans_germe,1.2,55.4,0.0,0.0
sans_germe,1.2,55.5,0.0,0.0
sans_germe,1.2,55.6,0.0,0.0
sans_germe,1.2,55.7,0.0,0.0
sans_germe,1.2,55.800000000000004,0.0,0.0
sans_germe,1.2,55.9,0.0,0.0
sans_germe,1.2,56.0,0.0,0.0
sans_germe,1.2,56.1,0.0,0.0
sans_germe,1.2,56.2,0.0,0.0
sans_germe,1.2,56.300000000000004,0.0,0.0
sans_germe,1.2,56.4,0.0,0.0
sans_germe,1.2,56.5,0.0,0.0
sans_germe,1.2,56.6,0.0,0.0
sans_germe,1.2,56.7,0.0,0.0
sans_germe,1.2,56.800000000000004,0.0,0.0
sans_germe,1.2,56.9,0.0,0.0
sans_germe,1.2,57.0,0.0,0.0
sans_germe,1.2,57.1,0.0,0.0
sans_germe,1.2,57.2,0.0,0.0
sans_germe,1.2,57.300000000000004,0.0,0.0
sans_germe,1.2,57.4,0.0,0.0
