germe,alpha,J,temps,n,q,A,Delta_S_interne_sur_kB
alpha_-0.4_J_0.1,-0.4,0.1,18.0,0.48633813877635373,0.0007245951136167659,0.1136618612236463,1.0500761573545878e-06
alpha_-0.4_J_0.1,-0.4,0.1,18.1,0.4866086617536809,0.000716415544539557,0.11339133824631908,1.02650246491582e-06
alpha_-0.4_J_0.1,-0.4,0.1,18.2,0.486873828017156,0.0007083472829087568,0.11312617198284391,1.0035117464084366e-06
alpha_-0.4_J_0.1,-0.4,0.1,18.3,0.48713374363682005,0.0007003882739257636,0.11286625636317993,9.81087468505421e-07
alpha_-0.4_J_0.1,-0.4,0.1,18.400000000000002,0.4873885125823864,0.0006925365144164912,0.11261148741761351,9.592136476002858e-07
alpha_-0.4_J_0.1,-0.4,0.1,18.5,0.4876382367648303,0.0006847900512334284,0.11236176323516966,9.378748285365631e-07
alpha_-0.4_J_0.1,-0.4,0.1,18.6,0.48788301607715445,0.0006771469797141133,0.11211698392284553,9.170560642718916e-07
alpha_-0.4_J_0.1,-0.4,0.1,18.7,0.4881229484343475,0.0006696054421938041,0.11187705156565253,8.9674289643112e-07
alpha_-0.4_J_0.1,-0.4,0.1,18.8,0.4883581298125515,0.0006621636265702419,0.11164187018744853,8.769213367053094e-07
alpha_-0.4_J_0.1,-0.4,0.1,18.900000000000002,0.4885886542874535,0.0006548197649184786,0.1114113457125464,8.57577849055783e-07
alpha_-0.4_J_0.1,-0.4,0.1,19.0,0.48881461407191723,0.0006475721321538353,0.1111853859280828,8.386993326845286e-07
alpha_-0.4_J_0.1,-0.4,0.1,19.1,0.4890360995528692,0.0006404190447411372,0.11096390044713078,8.202731057343013e-07
alpha_-0.4_J_0.1,-0.4,0.1,19.2,0.48925319932745504,0.0006333588594484507,0.11074680067254494,8.022868896836846e-07
alpha_-0.4_J_0.1,-0.4,0.1,19.3,0.4894660002384793,0.0006263899721436213,0.11053399976152067,7.847287944041734e-07
alpha_-0.4_J_0.1,-0.4,0.1,19.400000000000002,0.4896745874091437,0.0006195108166319855,0.11032541259085626,7.675873038480592e-07
alpha_-0.4_J_0.1,-0.4,0.1,19.5,0.48987904427709783,0.0006127198635336936,0.11012095572290215,7.508512623374963e-07
alpha_-0.4_J_0.1,-0.4,0.1,19.6,0.4900794526278149,0.0006060156191991505,0.10992054737218504,7.345098614266596e-07
alpha_-0.4_J_0.1,-0.4,0.1,19.7,0.4902758926273073,0.0005993966246611388,0.10972410737269267,7.185526273103321e-07
alpha_-0.4_J_0.1,-0.4,0.1,19.8,0.49046844285419416,0.0005928614546222527,0.10953155714580587,7.029694087536268e-07
alpha_-0.4_J_0.1,-0.4,0.1,19.900000000000002,0.4906571803311336,0.0005864087164763219,0.10934281966886639,6.877503655188146e-07
alpha_-0.4_J_0.1,-0.4,0.1,20.0,0.4908421805556329,0.0005800370493625635,0.10915781944436709,6.728859572664578e-07
alpha_-0.4_J_0.1,-0.4,0.1,20.1,0.4910235175302486,0.00057374512325125,0.10897648246975133,6.583669329091841e-07
alpha_-0.4_J_0.1,-0.4,0.1,20.2,0.4912012637921883,0.0005675316380597307,0.10879873620781166,6.441843203975224e-07
alpha_-0.4_J_0.1,-0.4,0.1,20.3,0.49137549044232687,0.0005613953227976897,0.10862450955767311,6.303294169182445e-07
alpha_-0.4_J_0.1,-0.4,0.1,20.400000000000002,0.49154626717364736,0.0005553349347405701,0.10845373282635262,6.167937794866265e-07
